Overall Qual,Gr Liv Area,Garage Cars,Garage Area,Total Bsmt SF,1st Flr SF,Year Built,Full Bath,Year Remod/Add,TotRms AbvGrd,Lot Area,Neighborhood,House Style,Exterior 1st,SalePrice
6,1656,2.0,528.0,1080.0,1656,1960,1,1960,7,31770,NAmes,1Story,BrkFace,215000
5,896,1.0,730.0,882.0,896,1961,1,1961,5,11622,NAmes,1Story,VinylSd,105000
6,1329,1.0,312.0,1329.0,1329,1958,1,1958,6,14267,NAmes,1Story,Wd Sdng,172000
7,2110,2.0,522.0,2110.0,2110,1968,2,1968,8,11160,NAmes,1Story,BrkFace,244000
5,1629,2.0,482.0,928.0,928,1997,2,1998,6,13830,Gilbert,2Story,VinylSd,189900
6,1604,2.0,470.0,926.0,926,1998,2,1998,7,9978,Gilbert,2Story,VinylSd,195500
8,1338,2.0,582.0,1338.0,1338,2001,2,2001,6,4920,StoneBr,1Story,CemntBd,213500
8,1280,2.0,506.0,1280.0,1280,1992,2,1992,5,5005,StoneBr,1Story,HdBoard,191500
8,1616,2.0,608.0,1595.0,1616,1995,2,1996,5,5389,StoneBr,1Story,CemntBd,236500
7,1804,2.0,442.0,994.0,1028,1999,2,1999,7,7500,Gilbert,2Story,VinylSd,189000
6,1655,2.0,440.0,763.0,763,1993,2,1994,7,10000,Gilbert,2Story,HdBoard,175900
6,1187,2.0,420.0,1168.0,1187,1992,2,2007,6,7980,Gilbert,1Story,HdBoard,185000
6,1465,2.0,393.0,789.0,789,1998,2,1998,7,8402,Gilbert,2Story,VinylSd,180400
7,1341,2.0,506.0,1300.0,1341,1990,1,1990,5,10176,Gilbert,1Story,HdBoard,171500
8,1502,2.0,528.0,1488.0,1502,1985,1,1985,4,6820,StoneBr,1Story,HdBoard,212000
8,3279,3.0,841.0,1650.0,1690,2003,3,2003,12,53504,StoneBr,2Story,CemntBd,538000
8,1752,2.0,492.0,559.0,1080,1988,2,2005,8,12134,Gilbert,1.5Fin,Wd Sdng,164000
9,1856,3.0,834.0,1856.0,1856,2010,1,2010,8,11394,StoneBr,1Story,VinylSd,394432
4,864,2.0,400.0,864.0,864,1951,1,1951,4,19138,Gilbert,1Story,VinylSd,141000
6,2073,2.0,500.0,1542.0,2073,1978,2,1988,7,13175,NWAmes,1Story,Plywood,210000
6,1844,2.0,546.0,1844.0,1844,1977,2,1977,7,11751,NWAmes,1Story,Plywood,190000
7,1173,2.0,528.0,1053.0,1173,1974,2,1974,6,10625,NWAmes,SFoyer,Plywood,170000
7,1674,2.0,663.0,814.0,814,2000,2,2000,7,7500,Somerst,2Story,VinylSd,216000
6,1004,2.0,480.0,1004.0,1004,1970,1,1970,5,11241,NAmes,1Story,Wd Sdng,149000
5,1078,2.0,500.0,1078.0,1078,1971,1,2008,6,12537,NAmes,1Story,VinylSd,149900
5,1056,1.0,304.0,1056.0,1056,1968,1,1968,6,8450,NAmes,1Story,VinylSd,142000
4,882,2.0,525.0,882.0,882,1970,1,1970,4,8400,NAmes,1Story,Plywood,126000
4,864,0.0,0.0,864.0,864,1971,1,1971,5,10500,NAmes,1Story,HdBoard,115000
7,1337,2.0,511.0,1405.0,1337,1999,2,1999,5,5858,NAmes,1Story,MetalSd,184000
6,987,1.0,264.0,483.0,483,1971,1,1971,5,1680,BrDale,2Story,HdBoard,96000
5,1092,1.0,320.0,525.0,525,1971,1,1971,6,1680,BrDale,2Story,HdBoard,105500
